Timestamp,Value (?C)
04-Feb-21 9:00:01 AM CET,18.9
04-Feb-21 9:15:00 AM CET,18.3
04-Feb-21 9:30:00 AM CET,18.9
04-Feb-21 9:45:00 AM CET,18.9
04-Feb-21 10:00:00 AM CET,18.3
04-Feb-21 10:15:00 AM CET,17.5
04-Feb-21 10:30:00 AM CET,18.9
04-Feb-21 10:45:00 AM CET,19.2
04-Feb-21 11:00:00 AM CET,18
04-Feb-21 11:15:00 AM CET,17.5
04-Feb-21 11:30:00 AM CET,18.3
04-Feb-21 11:45:00 AM CET,18.3
04-Feb-21 12:00:00 PM CET,17.5
04-Feb-21 12:15:00 PM CET,17.2
04-Feb-21 12:30:00 PM CET,18.6
04-Feb-21 12:45:00 PM CET,17.7
04-Feb-21 1:00:00 PM CET,17.5
04-Feb-21 1:15:00 PM CET,16.9
04-Feb-21 1:30:00 PM CET,17.5
04-Feb-21 1:45:00 PM CET,18.3
04-Feb-21 2:00:00 PM CET,17.2
04-Feb-21 2:15:00 PM CET,17.7
04-Feb-21 2:30:00 PM CET,18
04-Feb-21 2:45:00 PM CET,17.5
04-Feb-21 3:00:00 PM CET,18
04-Feb-21 3:15:00 PM CET,18
04-Feb-21 3:30:00 PM CET,17.2
04-Feb-21 3:45:00 PM CET,18.3
04-Feb-21 4:00:00 PM CET,18.6
04-Feb-21 4:15:00 PM CET,17.2
04-Feb-21 4:30:00 PM CET,17.7
04-Feb-21 4:45:00 PM CET,18.3
04-Feb-21 5:00:00 PM CET,17.5
04-Feb-21 5:15:00 PM CET,18
04-Feb-21 5:30:00 PM CET,18
04-Feb-21 5:45:00 PM CET,17.7
04-Feb-21 6:00:00 PM CET,18.6
04-Feb-21 6:15:00 PM CET,18
04-Feb-21 6:30:00 PM CET,19.2
04-Feb-21 6:45:00 PM CET,19.7
04-Feb-21 7:00:00 PM CET,20.3
04-Feb-21 7:15:01 PM CET,20.6
04-Feb-21 7:30:00 PM CET,20.8
04-Feb-21 7:45:00 PM CET,20.8
04-Feb-21 8:00:00 PM CET,20.8
04-Feb-21 8:15:00 PM CET,21.1
04-Feb-21 8:30:00 PM CET,21.1
04-Feb-21 8:45:00 PM CET,20.6
04-Feb-21 9:00:00 PM CET,19.7
04-Feb-21 9:15:00 PM CET,20
04-Feb-21 9:30:00 PM CET,20.3
04-Feb-21 9:45:00 PM CET,20.3
04-Feb-21 10:00:00 PM CET,20.3
04-Feb-21 10:15:00 PM CET,20.3
04-Feb-21 10:30:00 PM CET,20
04-Feb-21 10:45:00 PM CET,20
04-Feb-21 11:00:00 PM CET,20
04-Feb-21 11:15:00 PM CET,20
04-Feb-21 11:30:00 PM CET,20
04-Feb-21 11:45:00 PM CET,20
05-Feb-21 12:00:00 AM CET,20
05-Feb-21 12:15:01 AM CET,20
05-Feb-21 12:30:00 AM CET,20
05-Feb-21 12:45:00 AM CET,20
05-Feb-21 1:00:00 AM CET,20
05-Feb-21 1:15:00 AM CET,20
05-Feb-21 1:30:00 AM CET,20
05-Feb-21 1:45:00 AM CET,20
05-Feb-21 2:00:01 AM CET,20
05-Feb-21 2:15:00 AM CET,20
05-Feb-21 2:30:00 AM CET,20
05-Feb-21 2:45:00 AM CET,20
05-Feb-21 3:00:00 AM CET,20
05-Feb-21 3:15:00 AM CET,20
05-Feb-21 3:30:00 AM CET,20
05-Feb-21 3:45:00 AM CET,20
05-Feb-21 4:00:00 AM CET,20
05-Feb-21 4:15:00 AM CET,20
05-Feb-21 4:30:00 AM CET,20
05-Feb-21 4:45:00 AM CET,20
05-Feb-21 5:00:00 AM CET,20
05-Feb-21 5:15:00 AM CET,20
05-Feb-21 5:30:00 AM CET,20.3
05-Feb-21 5:45:00 AM CET,20.3
05-Feb-21 6:00:00 AM CET,20.3
05-Feb-21 6:15:00 AM CET,20.3
05-Feb-21 6:30:00 AM CET,18.2
05-Feb-21 6:45:00 AM CET,18.2
05-Feb-21 7:00:00 AM CET,18.8
05-Feb-21 7:15:00 AM CET,19.9
05-Feb-21 7:30:00 AM CET,18.8
05-Feb-21 7:45:00 AM CET,17.9
05-Feb-21 8:00:00 AM CET,18.5
05-Feb-21 8:15:00 AM CET,19.1
05-Feb-21 8:30:00 AM CET,18.2
05-Feb-21 8:45:00 AM CET,18.2
05-Feb-21 9:00:00 AM CET,19.1
05-Feb-21 9:15:00 AM CET,18.2
05-Feb-21 9:30:00 AM CET,17.7
05-Feb-21 9:45:00 AM CET,18.5
05-Feb-21 10:00:00 AM CET,17.9
05-Feb-21 10:15:00 AM CET,17.4
05-Feb-21 10:30:00 AM CET,17.4
05-Feb-21 10:45:00 AM CET,18.5
05-Feb-21 11:00:00 AM CET,17.1
05-Feb-21 11:15:00 AM CET,17.4
05-Feb-21 11:30:01 AM CET,18.5
05-Feb-21 11:45:00 AM CET,17.7
05-Feb-21 12:00:00 PM CET,17.9
05-Feb-21 12:15:00 PM CET,17.4
05-Feb-21 12:30:00 PM CET,17.1
05-Feb-21 12:45:00 PM CET,18.2
05-Feb-21 1:00:00 PM CET,16.8
05-Feb-21 1:15:00 PM CET,17.7
05-Feb-21 1:30:00 PM CET,18.5
05-Feb-21 1:45:00 PM CET,17.4
05-Feb-21 2:00:00 PM CET,17.1
05-Feb-21 2:15:00 PM CET,17.7
05-Feb-21 2:30:00 PM CET,16.5
05-Feb-21 2:45:00 PM CET,17.1
05-Feb-21 3:00:00 PM CET,17.7
05-Feb-21 3:15:00 PM CET,17
05-Feb-21 3:30:00 PM CET,17
05-Feb-21 3:45:00 PM CET,16.8
05-Feb-21 4:00:01 PM CET,17
05-Feb-21 4:15:01 PM CET,17.9
05-Feb-21 4:30:00 PM CET,16.8
05-Feb-21 4:45:00 PM CET,16.5
05-Feb-21 5:00:00 PM CET,18.2
05-Feb-21 5:15:00 PM CET,18.8
05-Feb-21 5:30:00 PM CET,19.4
05-Feb-21 5:45:00 PM CET,19.9
05-Feb-21 6:00:00 PM CET,20.2
05-Feb-21 6:15:01 PM CET,20.5
05-Feb-21 6:30:00 PM CET,20.8
05-Feb-21 6:45:00 PM CET,20.8
05-Feb-21 7:00:00 PM CET,20.8
05-Feb-21 7:15:00 PM CET,21.1
05-Feb-21 7:30:01 PM CET,21.1
05-Feb-21 7:45:00 PM CET,21.1
05-Feb-21 8:00:00 PM CET,21.1
05-Feb-21 8:15:00 PM CET,21.3
05-Feb-21 8:30:00 PM CET,21.1
05-Feb-21 8:45:00 PM CET,20.2
05-Feb-21 9:00:01 PM CET,19.9
05-Feb-21 9:15:00 PM CET,19.9
05-Feb-21 9:30:00 PM CET,19.9
05-Feb-21 9:45:00 PM CET,19.9
05-Feb-21 10:00:00 PM CET,20.2
05-Feb-21 10:15:00 PM CET,20.2
05-Feb-21 10:30:00 PM CET,20.2
05-Feb-21 10:45:00 PM CET,20.2
05-Feb-21 11:00:00 PM CET,20.2
05-Feb-21 11:15:00 PM CET,20.2
05-Feb-21 11:30:00 PM CET,20.2
05-Feb-21 11:45:00 PM CET,20.2
06-Feb-21 12:00:01 AM CET,20.5
06-Feb-21 12:15:00 AM CET,20.5
06-Feb-21 12:30:00 AM CET,20.5
06-Feb-21 12:45:00 AM CET,20.5
06-Feb-21 1:00:00 AM CET,20.5
06-Feb-21 1:15:00 AM CET,20.5
06-Feb-21 1:30:00 AM CET,20.5
06-Feb-21 1:45:00 AM CET,20.5
06-Feb-21 2:00:00 AM CET,20.5
06-Feb-21 2:15:00 AM CET,20.5
06-Feb-21 2:30:00 AM CET,20.5
06-Feb-21 2:45:00 AM CET,20.5
06-Feb-21 3:00:00 AM CET,20.5
06-Feb-21 3:15:00 AM CET,20.5
06-Feb-21 3:30:00 AM CET,20.5
06-Feb-21 3:45:00 AM CET,20.5
06-Feb-21 4:00:00 AM CET,20.5
06-Feb-21 4:15:00 AM CET,20.2
06-Feb-21 4:30:00 AM CET,20.2
06-Feb-21 4:45:00 AM CET,20.2
06-Feb-21 5:00:00 AM CET,20.2
06-Feb-21 5:15:00 AM CET,20.2
06-Feb-21 5:30:00 AM CET,20.2
06-Feb-21 5:45:00 AM CET,20.2
06-Feb-21 6:00:00 AM CET,20.2
06-Feb-21 6:15:00 AM CET,20.2
06-Feb-21 6:30:00 AM CET,19.9
06-Feb-21 6:45:00 AM CET,19.9
06-Feb-21 7:00:00 AM CET,19.9
06-Feb-21 7:15:00 AM CET,19.9
06-Feb-21 7:30:00 AM CET,19.9
06-Feb-21 7:45:00 AM CET,19.9
06-Feb-21 8:00:00 AM CET,20.2
06-Feb-21 8:15:00 AM CET,20.2
06-Feb-21 8:30:00 AM CET,20.2
06-Feb-21 8:45:00 AM CET,20.2
06-Feb-21 9:00:00 AM CET,20.2
06-Feb-21 9:15:01 AM CET,20.2
06-Feb-21 9:30:00 AM CET,20.2
06-Feb-21 9:45:00 AM CET,20.2
06-Feb-21 10:00:00 AM CET,20.2
06-Feb-21 10:15:00 AM CET,20.2
06-Feb-21 10:30:00 AM CET,20.2
06-Feb-21 10:45:00 AM CET,20.2
06-Feb-21 11:00:00 AM CET,20.2
06-Feb-21 11:15:00 AM CET,20.2
06-Feb-21 11:30:00 AM CET,20.2
06-Feb-21 11:45:00 AM CET,19.9
06-Feb-21 12:00:00 PM CET,19.9
06-Feb-21 12:15:00 PM CET,19.9
06-Feb-21 12:30:00 PM CET,19.6
06-Feb-21 12:45:00 PM CET,19.6
06-Feb-21 1:00:00 PM CET,19.6
06-Feb-21 1:15:00 PM CET,19.4
06-Feb-21 1:30:00 PM CET,19.4
06-Feb-21 1:45:00 PM CET,19.4
06-Feb-21 2:00:00 PM CET,19.6
