Timestamp,Value (L/s)
04-Feb-21 9:00:01 AM CET,2271
04-Feb-21 9:15:00 AM CET,2291
04-Feb-21 9:30:00 AM CET,2155
04-Feb-21 9:45:00 AM CET,2151
04-Feb-21 10:00:00 AM CET,2205
04-Feb-21 10:15:00 AM CET,2205
04-Feb-21 10:30:00 AM CET,2189
04-Feb-21 10:45:00 AM CET,2257
04-Feb-21 11:00:00 AM CET,2324
04-Feb-21 11:15:00 AM CET,2173
04-Feb-21 11:30:00 AM CET,2165
04-Feb-21 11:45:00 AM CET,2236
04-Feb-21 12:00:00 PM CET,2335
04-Feb-21 12:15:00 PM CET,2251
04-Feb-21 12:30:00 PM CET,2288
04-Feb-21 12:45:00 PM CET,2311
04-Feb-21 1:00:00 PM CET,2299
04-Feb-21 1:15:00 PM CET,2350
04-Feb-21 1:30:00 PM CET,2324
04-Feb-21 1:45:00 PM CET,2234
04-Feb-21 2:00:00 PM CET,2335
04-Feb-21 2:15:00 PM CET,2223
04-Feb-21 2:30:00 PM CET,2396
04-Feb-21 2:45:00 PM CET,2416
04-Feb-21 3:00:00 PM CET,2306
04-Feb-21 3:15:00 PM CET,2272
04-Feb-21 3:30:00 PM CET,2211
04-Feb-21 3:45:00 PM CET,2232
04-Feb-21 4:00:00 PM CET,2154
04-Feb-21 4:15:00 PM CET,2179
04-Feb-21 4:30:00 PM CET,2223
04-Feb-21 4:45:00 PM CET,2171
04-Feb-21 5:00:00 PM CET,2174
04-Feb-21 5:15:00 PM CET,2153
04-Feb-21 5:30:00 PM CET,2111
04-Feb-21 5:45:00 PM CET,2104
04-Feb-21 6:00:00 PM CET,2120
04-Feb-21 6:15:00 PM CET,2049
04-Feb-21 6:30:00 PM CET,1986
04-Feb-21 6:45:00 PM CET,1997
04-Feb-21 7:00:00 PM CET,1987
04-Feb-21 7:15:01 PM CET,1926
04-Feb-21 7:30:00 PM CET,1918
04-Feb-21 7:45:00 PM CET,1923
04-Feb-21 8:00:00 PM CET,1900
04-Feb-21 8:15:00 PM CET,1948
04-Feb-21 8:30:00 PM CET,1879
04-Feb-21 8:45:00 PM CET,0
04-Feb-21 9:00:00 PM CET,0
04-Feb-21 9:15:00 PM CET,0
04-Feb-21 9:30:00 PM CET,0
04-Feb-21 9:45:00 PM CET,0
04-Feb-21 10:00:00 PM CET,0
04-Feb-21 10:15:00 PM CET,0
04-Feb-21 10:30:00 PM CET,0
04-Feb-21 10:45:00 PM CET,0
04-Feb-21 11:00:00 PM CET,0
04-Feb-21 11:15:00 PM CET,0
04-Feb-21 11:30:00 PM CET,0
04-Feb-21 11:45:00 PM CET,0
05-Feb-21 12:00:00 AM CET,0
05-Feb-21 12:15:01 AM CET,0
05-Feb-21 12:30:00 AM CET,0
05-Feb-21 12:45:00 AM CET,0
05-Feb-21 1:00:00 AM CET,0
05-Feb-21 1:15:00 AM CET,0
05-Feb-21 1:30:00 AM CET,0
05-Feb-21 1:45:00 AM CET,0
05-Feb-21 2:00:01 AM CET,0
05-Feb-21 2:15:00 AM CET,0
05-Feb-21 2:30:00 AM CET,0
05-Feb-21 2:45:00 AM CET,0
05-Feb-21 3:00:00 AM CET,0
05-Feb-21 3:15:00 AM CET,0
05-Feb-21 3:30:00 AM CET,0
