Timestamp,Value (kW)
04-Feb-21 9:15:00 AM CET,6470
04-Feb-21 9:30:00 AM CET,6480
04-Feb-21 9:45:00 AM CET,6477
04-Feb-21 10:00:00 AM CET,6483
04-Feb-21 10:15:00 AM CET,6473
04-Feb-21 10:30:00 AM CET,6476
04-Feb-21 10:45:00 AM CET,6484
04-Feb-21 11:00:00 AM CET,6480
04-Feb-21 11:15:00 AM CET,6475
04-Feb-21 11:30:00 AM CET,6485
04-Feb-21 11:45:00 AM CET,6476
04-Feb-21 12:00:00 PM CET,6475
04-Feb-21 12:15:00 PM CET,6475
04-Feb-21 12:30:00 PM CET,6478
04-Feb-21 12:45:00 PM CET,6477
04-Feb-21 1:00:00 PM CET,6471
04-Feb-21 1:15:00 PM CET,6475
04-Feb-21 1:30:00 PM CET,6477
04-Feb-21 1:45:00 PM CET,6476
04-Feb-21 2:00:00 PM CET,6472
04-Feb-21 2:15:00 PM CET,6477
04-Feb-21 2:30:00 PM CET,6480
04-Feb-21 2:45:00 PM CET,6486
04-Feb-21 3:00:00 PM CET,6489
04-Feb-21 3:15:00 PM CET,6482
04-Feb-21 3:30:00 PM CET,6492
04-Feb-21 3:45:00 PM CET,6491
04-Feb-21 4:00:00 PM CET,6489
04-Feb-21 4:15:00 PM CET,6493
04-Feb-21 4:30:00 PM CET,6488
04-Feb-21 4:45:00 PM CET,6490
04-Feb-21 5:00:00 PM CET,6487
04-Feb-21 5:15:00 PM CET,6496
04-Feb-21 5:30:00 PM CET,6499
04-Feb-21 5:45:00 PM CET,6498
04-Feb-21 6:00:00 PM CET,6496
04-Feb-21 6:15:00 PM CET,6494
04-Feb-21 6:30:00 PM CET,6500
04-Feb-21 6:45:00 PM CET,6503
04-Feb-21 7:00:00 PM CET,6504
04-Feb-21 7:15:01 PM CET,6496
04-Feb-21 7:30:00 PM CET,6502
04-Feb-21 7:45:00 PM CET,6506
04-Feb-21 8:00:00 PM CET,6503
04-Feb-21 8:15:00 PM CET,6506
04-Feb-21 8:30:00 PM CET,6520
04-Feb-21 8:45:00 PM CET,6519
04-Feb-21 9:00:00 PM CET,6522
04-Feb-21 9:15:00 PM CET,6515
04-Feb-21 9:30:00 PM CET,6516
04-Feb-21 9:45:00 PM CET,6523
04-Feb-21 10:00:00 PM CET,6519
04-Feb-21 10:15:00 PM CET,6522
04-Feb-21 10:30:00 PM CET,6522
04-Feb-21 10:45:00 PM CET,6521
04-Feb-21 11:00:00 PM CET,6522
04-Feb-21 11:15:00 PM CET,6519
04-Feb-21 11:30:00 PM CET,6516
04-Feb-21 11:45:00 PM CET,6519
05-Feb-21 12:00:00 AM CET,6523
05-Feb-21 12:15:01 AM CET,6518
05-Feb-21 12:30:00 AM CET,6518
05-Feb-21 12:45:00 AM CET,6519
05-Feb-21 1:00:00 AM CET,6522
05-Feb-21 1:15:00 AM CET,6522
05-Feb-21 1:30:00 AM CET,6512
05-Feb-21 1:45:00 AM CET,6522
05-Feb-21 2:00:01 AM CET,6516
05-Feb-21 2:15:00 AM CET,6522
05-Feb-21 2:30:00 AM CET,6523
05-Feb-21 2:45:00 AM CET,6519
05-Feb-21 3:00:00 AM CET,6524
05-Feb-21 3:15:00 AM CET,6512
05-Feb-21 3:30:00 AM CET,6521
05-Feb-21 3:45:00 AM CET,6522
05-Feb-21 4:00:00 AM CET,6519
05-Feb-21 4:15:00 AM CET,6517
05-Feb-21 4:30:00 AM CET,6518
05-Feb-21 4:45:00 AM CET,6516
05-Feb-21 5:00:00 AM CET,6525
05-Feb-21 5:15:00 AM CET,6513
05-Feb-21 5:30:00 AM CET,6509
05-Feb-21 5:45:00 AM CET,6508
05-Feb-21 6:00:00 AM CET,6508
05-Feb-21 6:15:00 AM CET,6505
05-Feb-21 6:30:00 AM CET,6508
05-Feb-21 6:45:00 AM CET,6492
05-Feb-21 7:00:00 AM CET,6498
05-Feb-21 7:15:00 AM CET,6491
05-Feb-21 7:30:00 AM CET,6492
05-Feb-21 7:45:00 AM CET,6488
05-Feb-21 8:00:00 AM CET,6477
05-Feb-21 8:15:00 AM CET,6480
05-Feb-21 8:30:00 AM CET,6481
05-Feb-21 8:45:00 AM CET,6468
05-Feb-21 9:00:00 AM CET,6486
05-Feb-21 9:15:00 AM CET,6481
05-Feb-21 9:30:00 AM CET,6486
05-Feb-21 9:45:00 AM CET,6482
05-Feb-21 10:00:00 AM CET,6471
05-Feb-21 10:15:00 AM CET,6479
05-Feb-21 10:30:00 AM CET,6478
05-Feb-21 10:45:00 AM CET,6478
05-Feb-21 11:00:00 AM CET,6489
05-Feb-21 11:15:00 AM CET,6479
05-Feb-21 11:30:01 AM CET,6478
05-Feb-21 11:45:00 AM CET,6484
05-Feb-21 12:00:00 PM CET,6484
05-Feb-21 12:15:00 PM CET,6483
05-Feb-21 12:30:00 PM CET,6484
05-Feb-21 12:45:00 PM CET,6482
05-Feb-21 1:00:00 PM CET,6481
05-Feb-21 1:15:00 PM CET,6485
05-Feb-21 1:30:00 PM CET,6482
05-Feb-21 1:45:00 PM CET,6487
05-Feb-21 2:00:00 PM CET,6482
05-Feb-21 2:15:00 PM CET,6486
05-Feb-21 2:30:00 PM CET,6483
05-Feb-21 2:45:00 PM CET,6481
05-Feb-21 3:00:00 PM CET,6483
05-Feb-21 3:15:00 PM CET,6486
05-Feb-21 3:30:00 PM CET,6490
05-Feb-21 3:45:00 PM CET,6494
05-Feb-21 4:00:01 PM CET,6487
05-Feb-21 4:15:01 PM CET,6497
05-Feb-21 4:30:00 PM CET,6500
05-Feb-21 4:45:00 PM CET,6496
05-Feb-21 5:00:00 PM CET,6496
05-Feb-21 5:15:00 PM CET,6503
05-Feb-21 5:30:00 PM CET,6500
05-Feb-21 5:45:00 PM CET,6502
05-Feb-21 6:00:00 PM CET,6495
05-Feb-21 6:15:01 PM CET,6496
05-Feb-21 6:30:00 PM CET,6506
05-Feb-21 6:45:00 PM CET,6504
05-Feb-21 7:00:00 PM CET,6503
05-Feb-21 7:15:00 PM CET,6504
05-Feb-21 7:30:01 PM CET,6503
05-Feb-21 7:45:00 PM CET,6501
05-Feb-21 8:00:00 PM CET,6508
05-Feb-21 8:15:00 PM CET,6507
05-Feb-21 8:30:00 PM CET,6515
05-Feb-21 8:45:00 PM CET,6520
05-Feb-21 9:00:01 PM CET,6521
05-Feb-21 9:15:00 PM CET,6521
05-Feb-21 9:30:00 PM CET,6523
05-Feb-21 9:45:00 PM CET,6518
05-Feb-21 10:00:00 PM CET,6524
05-Feb-21 10:15:00 PM CET,6518
05-Feb-21 10:30:00 PM CET,6521
05-Feb-21 10:45:00 PM CET,6522
05-Feb-21 11:00:00 PM CET,6525
05-Feb-21 11:15:00 PM CET,6517
05-Feb-21 11:30:00 PM CET,6519
05-Feb-21 11:45:00 PM CET,6517
06-Feb-21 12:00:01 AM CET,6524
06-Feb-21 12:15:00 AM CET,6521
06-Feb-21 12:30:00 AM CET,6520
06-Feb-21 12:45:00 AM CET,6522
06-Feb-21 1:00:00 AM CET,6522
06-Feb-21 1:15:00 AM CET,6519
06-Feb-21 1:30:00 AM CET,6524
06-Feb-21 1:45:00 AM CET,6519
06-Feb-21 2:00:00 AM CET,6524
06-Feb-21 2:15:00 AM CET,6516
06-Feb-21 2:30:00 AM CET,6515
06-Feb-21 2:45:00 AM CET,6522
06-Feb-21 3:00:00 AM CET,6520
06-Feb-21 3:15:00 AM CET,6522
06-Feb-21 3:30:00 AM CET,6517
06-Feb-21 3:45:00 AM CET,6519
06-Feb-21 4:00:00 AM CET,6525
06-Feb-21 4:15:00 AM CET,6512
06-Feb-21 4:30:00 AM CET,6518
06-Feb-21 4:45:00 AM CET,6517
06-Feb-21 5:00:00 AM CET,6518
06-Feb-21 5:15:00 AM CET,6522
06-Feb-21 5:30:00 AM CET,6515
06-Feb-21 5:45:00 AM CET,6511
06-Feb-21 6:00:00 AM CET,6516
06-Feb-21 6:15:00 AM CET,6509
06-Feb-21 6:30:00 AM CET,6503
06-Feb-21 6:45:00 AM CET,6509
06-Feb-21 7:00:00 AM CET,6506
06-Feb-21 7:15:00 AM CET,6510
06-Feb-21 7:30:00 AM CET,6507
06-Feb-21 7:45:00 AM CET,6510
06-Feb-21 8:00:00 AM CET,6511
06-Feb-21 8:15:00 AM CET,6513
06-Feb-21 8:30:00 AM CET,6509
06-Feb-21 8:45:00 AM CET,6514
06-Feb-21 9:00:00 AM CET,6515
06-Feb-21 9:15:01 AM CET,6514
06-Feb-21 9:30:00 AM CET,6513
06-Feb-21 9:45:00 AM CET,6512
06-Feb-21 10:00:00 AM CET,6514
06-Feb-21 10:15:00 AM CET,6517
06-Feb-21 10:30:00 AM CET,6512
06-Feb-21 10:45:00 AM CET,6505
06-Feb-21 11:00:00 AM CET,6516
06-Feb-21 11:15:00 AM CET,6515
06-Feb-21 11:30:00 AM CET,6516
06-Feb-21 11:45:00 AM CET,6512
06-Feb-21 12:00:00 PM CET,6513
06-Feb-21 12:15:00 PM CET,6518
06-Feb-21 12:30:00 PM CET,6514
06-Feb-21 12:45:00 PM CET,6515
06-Feb-21 1:00:00 PM CET,6508
06-Feb-21 1:15:00 PM CET,6514
06-Feb-21 1:30:00 PM CET,6515
06-Feb-21 1:45:00 PM CET,6512
06-Feb-21 2:00:00 PM CET,6512
06-Feb-21 2:15:00 PM CET,6517
06-Feb-21 2:30:01 PM CET,6511
06-Feb-21 2:45:00 PM CET,6515
06-Feb-21 3:00:00 PM CET,6515
06-Feb-21 3:15:00 PM CET,6509
06-Feb-21 3:30:00 PM CET,6511
06-Feb-21 3:45:00 PM CET,6518
06-Feb-21 4:00:00 PM CET,6510
06-Feb-21 4:15:00 PM CET,6516
06-Feb-21 4:30:00 PM CET,6503
06-Feb-21 4:45:00 PM CET,6516
06-Feb-21 5:00:01 PM CET,6512
06-Feb-21 5:15:00 PM CET,6511
06-Feb-21 5:30:00 PM CET,6507
06-Feb-21 5:45:00 PM CET,6515
06-Feb-21 6:00:00 PM CET,6510
06-Feb-21 6:15:01 PM CET,6512
06-Feb-21 6:30:00 PM CET,6496
06-Feb-21 6:45:00 PM CET,6496
06-Feb-21 7:00:00 PM CET,6512
06-Feb-21 7:15:00 PM CET,6512
06-Feb-21 7:30:00 PM CET,6506
06-Feb-21 7:45:00 PM CET,6514
06-Feb-21 8:00:00 PM CET,6507
06-Feb-21 8:15:00 PM CET,6513
06-Feb-21 8:30:01 PM CET,6514
06-Feb-21 8:45:00 PM CET,6522
06-Feb-21 9:00:00 PM CET,6521
06-Feb-21 9:15:00 PM CET,6518
06-Feb-21 9:30:00 PM CET,6509
06-Feb-21 9:45:01 PM CET,6518
06-Feb-21 10:00:00 PM CET,6515
06-Feb-21 10:15:01 PM CET,6523
06-Feb-21 10:30:00 PM CET,6516
06-Feb-21 10:45:00 PM CET,6518
06-Feb-21 11:00:00 PM CET,6521
06-Feb-21 11:15:00 PM CET,6522
06-Feb-21 11:30:00 PM CET,6521
06-Feb-21 11:45:00 PM CET,6524
07-Feb-21 12:00:00 AM CET,6512
07-Feb-21 12:15:00 AM CET,6517
07-Feb-21 12:30:00 AM CET,6519
07-Feb-21 12:45:00 AM CET,6520
07-Feb-21 1:00:00 AM CET,6520
07-Feb-21 1:15:00 AM CET,6512
07-Feb-21 1:30:00 AM CET,6523
07-Feb-21 1:45:01 AM CET,6521
07-Feb-21 2:00:00 AM CET,6518
07-Feb-21 2:15:00 AM CET,6518
07-Feb-21 2:30:01 AM CET,6519
07-Feb-21 2:45:00 AM CET,6524
07-Feb-21 3:00:00 AM CET,6523
07-Feb-21 3:15:00 AM CET,6522
07-Feb-21 3:30:00 AM CET,6522
07-Feb-21 3:45:00 AM CET,6523
07-Feb-21 4:00:00 AM CET,6517
07-Feb-21 4:15:00 AM CET,6523
07-Feb-21 4:30:00 AM CET,6515
07-Feb-21 4:45:00 AM CET,6523
07-Feb-21 5:00:00 AM CET,6522
07-Feb-21 5:15:00 AM CET,6522
07-Feb-21 5:30:00 AM CET,6509
07-Feb-21 5:45:00 AM CET,6513
07-Feb-21 6:00:00 AM CET,6503
07-Feb-21 6:15:00 AM CET,6515
07-Feb-21 6:30:00 AM CET,6506
07-Feb-21 6:45:01 AM CET,6516
07-Feb-21 7:00:01 AM CET,6504
07-Feb-21 7:15:00 AM CET,6508
07-Feb-21 7:30:00 AM CET,6513
07-Feb-21 7:45:00 AM CET,6516
07-Feb-21 8:00:00 AM CET,6512
07-Feb-21 8:15:00 AM CET,6512
07-Feb-21 8:30:00 AM CET,6512
07-Feb-21 8:45:00 AM CET,6511
07-Feb-21 9:00:00 AM CET,6514
07-Feb-21 9:15:00 AM CET,6515
07-Feb-21 9:30:00 AM CET,6513
07-Feb-21 9:45:00 AM CET,6518
07-Feb-21 10:00:00 AM CET,6513
07-Feb-21 10:15:00 AM CET,6510
07-Feb-21 10:30:00 AM CET,6509
07-Feb-21 10:45:00 AM CET,6517
07-Feb-21 11:00:00 AM CET,6515
07-Feb-21 11:15:00 AM CET,6510
07-Feb-21 11:30:01 AM CET,6512
